tool,command,description,category,use_case,flags,os,reference_link,supported_languages
readelf,readelf -l binary.elf,Display program headers of an ELF binary.,Reverse Engineering,Program header analysis,"[""-l""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
readelf,readelf -W binary.elf,Display wide output for ELF analysis.,Reverse Engineering,ELF analysis,"[""-W""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
gdb,gdb --tui ./binary,Launch GDB with Text User Interface.,Reverse Engineering,Binary debugging,"[""--tui""]",Linux,https://www.gnu.org/software/gdb/documentation/,
gdb,gdb --write ./binary,Allow GDB to modify the binary.,Reverse Engineering,Binary patching,"[""--write""]",Linux,https://www.gnu.org/software/gdb/documentation/,
radare2,r2 -c 'v' ./binary,Enter visual mode in Radare2.,Reverse Engineering,Visual binary analysis,"[""-c""]",Linux,https://rada.re/r/,
radare2,r2 -c 's main' ./binary,Seek to the main function in Radare2.,Reverse Engineering,Function analysis,"[""-c""]",Linux,https://rada.re/r/,
binwalk,binwalk -R firmware.bin,Perform raw entropy analysis on firmware.,Reverse Engineering,Firmware analysis,"[""-R""]",Linux,https://github.com/ReFirmLabs/binwalk,
binwalk,binwalk -E firmware.bin,Generate entropy graphs for firmware.,Reverse Engineering,Firmware analysis,"[""-E""]",Linux,https://github.com/ReFirmLabs/binwalk,
ghidra,ghidra -processor x86_64,Specify x86_64 processor for Ghidra analysis.,Reverse Engineering,Processor-specific analysis,"[""-processor""]",Linux,https://ghidra-sre.org/,
ghidra,ghidra -max-cpu 4,Limit Ghidra to 4 CPU cores for analysis.,Reverse Engineering,Resource management,"[""-max-cpu""]",Linux,https://ghidra-sre.org/,
wireshark,wireshark,Launch Wireshark for network packet analysis.,Sniffing and Spoofing,Packet capturing,[],Linux,https://www.wireshark.org/docs/,
wireshark,wireshark -i eth0,Capture packets on eth0 interface with Wireshark.,Sniffing and Spoofing,Interface-specific packet capturing,"[""-i""]",Linux,https://www.wireshark.org/docs/,
tcpdump,tcpdump -i eth0,Capture packets on eth0 interface.,Sniffing and Spoofing,Packet capturing,"[""-i""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
tcpdump,tcpdump -i eth0 -w capture.pcap,Save captured packets to a pcap file.,Sniffing and Spoofing,Packet capturing,"[""-i"",""-w""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
tcpdump,tcpdump -r capture.pcap,Read and analyze packets from a pcap file.,Sniffing and Spoofing,Packet analysis,"[""-r""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
ettercap,ettercap -T -i eth0,Launch Ettercap in text mode for sniffing on eth0.,Sniffing and Spoofing,Network sniffing,"[""-T"",""-i""]",Linux,https://www.ettercap-project.org/documentation.html,
ettercap,ettercap -T -M arp /192.168.1.1/ /192.168.1.100/,Perform ARP poisoning between two hosts.,Sniffing and Spoofing,ARP spoofing,"[""-T"",""-M""]",Linux,https://www.ettercap-project.org/documentation.html,
ettercap,ettercap -T -P dns_spoof /192.168.1.0/24/,Perform DNS spoofing on a network.,Sniffing and Spoofing,DNS spoofing,"[""-T"",""-P""]",Linux,https://www.ettercap-project.org/documentation.html,
arpspoof,arpspoof -i eth0 -t 192.168.1.100 192.168.1.1,Spoof ARP packets to poison a target.,Sniffing and Spoofing,ARP spoofing,"[""-i"",""-t""]",Linux,https://www.kali.org/tools/dsniff/,
arpspoof,arpspoof -i eth0 -t 192.168.1.1 192.168.1.100,Spoof ARP packets for bidirectional poisoning.,Sniffing and Spoofing,ARP spoofing,"[""-i"",""-t""]",Linux,https://www.kali.org/tools/dsniff/,
dnsspoof,dnsspoof -i eth0 -f hosts.txt,Spoof DNS responses using a hosts file.,Sniffing and Spoofing,DNS spoofing,"[""-i"",""-f""]",Linux,https://www.kali.org/tools/dsniff/,
dnsspoof,dnsspoof -i eth0 host 192.168.1.100,Spoof DNS for a specific host.,Sniffing and Spoofing,DNS spoofing,"[""-i"",""host""]",Linux,https://www.kali.org/tools/dsniff/,
macchanger,macchanger -r eth0,Randomize the MAC address of eth0.,Sniffing and Spoofing,MAC spoofing,"[""-r""]",Linux,https://www.kali.org/tools/macchanger/,
macchanger,macchanger -m 00:11:22:33:44:55 eth0,Set a specific MAC address for eth0.,Sniffing and Spoofing,MAC spoofing,"[""-m""]",Linux,https://www.kali.org/tools/macchanger/,
tshark,tshark -i eth0,Capture packets on eth0 using Tshark.,Sniffing and Spoofing,Packet capturing,"[""-i""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
tshark,tshark -r capture.pcap,Analyze packets from a pcap file.,Sniffing and Spoofing,Packet analysis,"[""-r""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
tshark,tshark -i eth0 -w output.pcap,Save captured packets to a pcap file.,Sniffing and Spoofing,Packet capturing,"[""-i"",""-w""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
wireshark,wireshark -r capture.pcap,Open a pcap file in Wireshark for analysis.,Sniffing and Spoofing,Packet analysis,"[""-r""]",Linux,https://www.wireshark.org/docs/,
wireshark,wireshark -f 'tcp port 80' -i eth0,Capture HTTP traffic on eth0.,Sniffing and Spoofing,Protocol-specific capturing,"[""-f"",""-i""]",Linux,https://www.wireshark.org/docs/,
tcpdump,tcpdump -i eth0 port 80,Capture HTTP traffic on eth0.,Sniffing and Spoofing,Protocol-specific capturing,"[""-i"",""port""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
tcpdump,tcpdump -i eth0 -c 100,Capture 100 packets on eth0.,Sniffing and Spoofing,Limited packet capturing,"[""-i"",""-c""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
ettercap,ettercap -T -M dhcp:192.168.1.100/192.168.1.1/,Perform DHCP spoofing on a network.,Sniffing and Spoofing,DHCP spoofing,"[""-T"",""-M""]",Linux,https://www.ettercap-project.org/documentation.html,
ettercap,ettercap -T -P sslstrip /192.168.1.0/24/,Strip SSL from HTTPS traffic for sniffing.,Sniffing and Spoofing,SSL stripping,"[""-T"",""-P""]",Linux,https://www.ettercap-project.org/documentation.html,
arpspoof,arpspoof -i eth0 -t 192.168.1.100,Spoof ARP packets targeting a specific host.,Sniffing and Spoofing,ARP spoofing,"[""-i"",""-t""]",Linux,https://www.kali.org/tools/dsniff/,
dnsspoof,dnsspoof -i eth0 udp port 53,Spoof DNS responses on UDP port 53.,Sniffing and Spoofing,DNS spoofing,"[""-i"",""udp"",""port""]",Linux,https://www.kali.org/tools/dsniff/,
macchanger,macchanger -s eth0,Show the current MAC address of eth0.,Sniffing and Spoofing,MAC address inspection,"[""-s""]",Linux,https://www.kali.org/tools/macchanger/,
macchanger,macchanger -b eth0,Set a burned-in MAC address for eth0.,Sniffing and Spoofing,MAC spoofing,"[""-b""]",Linux,https://www.kali.org/tools/macchanger/,
tshark,tshark -i eth0 -f 'port 443',Capture HTTPS traffic on eth0.,Sniffing and Spoofing,Protocol-specific capturing,"[""-i"",""-f""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
tshark,tshark -i eth0 -T fields -e ip.src,Extract source IP addresses from captured packets.,Sniffing and Spoofing,Packet field extraction,"[""-i"",""-T"",""-e""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
wireshark,wireshark -Y 'http' -r capture.pcap,Filter HTTP packets in a pcap file.,Sniffing and Spoofing,Packet filtering,"[""-Y"",""-r""]",Linux,https://www.wireshark.org/docs/,
tcpdump,tcpdump -i eth0 host 192.168.1.100,Capture packets to/from a specific host.,Sniffing and Spoofing,Host-specific capturing,"[""-i"",""host""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
tcpdump,tcpdump -i eth0 -vv,Capture packets with verbose output.,Sniffing and Spoofing,Detailed packet capturing,"[""-i"",""-vv""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
ettercap,ettercap -T -u -i eth0,Sniff unified packets on eth0.,Sniffing and Spoofing,Unified sniffing,"[""-T"",""-u"",""-i""]",Linux,https://www.ettercap-project.org/documentation.html,
ettercap,ettercap -T -P mac_flood /192.168.1.0/24/,Perform MAC flooding to overwhelm switches.,Sniffing and Spoofing,MAC flooding,"[""-T"",""-P""]",Linux,https://www.ettercap-project.org/documentation.html,
arpspoof,arpspoof -i eth0 -r -t 192.168.1.100,Spoof ARP packets with reverse poisoning.,Sniffing and Spoofing,ARP spoofing,"[""-i"",""-r"",""-t""]",Linux,https://www.kali.org/tools/dsniff/,
dnsspoof,dnsspoof -i eth0 -v,Spoof DNS responses with verbose output.,Sniffing and Spoofing,DNS spoofing,"[""-i"",""-v""]",Linux,https://www.kali.org/tools/dsniff/,
macchanger,macchanger -e eth0,Set a MAC address similar to the original.,Sniffing and Spoofing,MAC spoofing,"[""-e""]",Linux,https://www.kali.org/tools/macchanger/,
tshark,tshark -i eth0 -c 100,Capture 100 packets on eth0.,Sniffing and Spoofing,Limited packet capturing,"[""-i"",""-c""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
wireshark,wireshark -i eth0 -k,Start capturing packets immediately on eth0.,Sniffing and Spoofing,Immediate packet capturing,"[""-i"",""-k""]",Linux,https://www.wireshark.org/docs/,
tcpdump,tcpdump -i eth0 -n,Capture packets without DNS resolution.,Sniffing and Spoofing,Packet capturing,"[""-i"",""-n""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
ettercap,ettercap -T -P arp_storm /192.168.1.0/24/,Generate an ARP storm on the network.,Sniffing and Spoofing,ARP storming,"[""-T"",""-P""]",Linux,https://www.ettercap-project.org/documentation.html,
ettercap,ettercap -T -M port /192.168.1.100/ /192.168.1.1/,Perform port stealing for sniffing.,Sniffing and Spoofing,Port stealing,"[""-T"",""-M""]",Linux,https://www.ettercap-project.org/documentation.html,
arpspoof,arpspoof -i eth0 -t 192.168.1.100 -h 00:11:22:33:44:55,Spoof ARP packets with a specific MAC address.,Sniffing and Spoofing,ARP spoofing,"[""-i"",""-t"",""-h""]",Linux,https://www.kali.org/tools/dsniff/,
dnsspoof,dnsspoof -i eth0 -d,Spoof DNS responses with debugging output.,Sniffing and Spoofing,DNS spoofing,"[""-i"",""-d""]",Linux,https://www.kali.org/tools/dsniff/,
macchanger,macchanger -l,List known MAC address vendors.,Sniffing and Spoofing,MAC address reconnaissance,"[""-l""]",Linux,https://www.kali.org/tools/macchanger/,
tshark,"tshark -i eth0 -z io,stat,1",Display packet statistics every second.,Sniffing and Spoofing,Traffic statistics,"[""-i"",""-z""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
wireshark,"wireshark -z io,stat,1 -i eth0",Display real-time packet statistics.,Sniffing and Spoofing,Traffic statistics,"[""-z"",""-i""]",Linux,https://www.wireshark.org/docs/,
tcpdump,tcpdump -i eth0 -s 1500,Capture packets with a snaplen of 1500 bytes.,Sniffing and Spoofing,Packet capturing,"[""-i"",""-s""]",Linux,https://www.tcpdump.org/manpages/tcpdump.1.html,
ettercap,ettercap -T -P icmp_redirect /192.168.1.0/24/,Perform ICMP redirect spoofing.,Sniffing and Spoofing,ICMP spoofing,"[""-T"",""-P""]",Linux,https://www.ettercap-project.org/documentation.html,
tshark,tshark -i eth0 -Y 'http.request',Filter and display HTTP requests.,Sniffing and Spoofing,Packet filtering,"[""-i"",""-Y""]",Linux,https://www.wireshark.org/docs/man-pages/tshark.html,
nmap,nmap 192.168.1.0/24,Scan a network range for live hosts.,Information Gathering,Network scanning,[],Linux,https://nmap.org/book/man.html,
theHarvester,theharvester -d example.com -b google,Harvest emails and subdomains from Google.,Information Gathering,OSINT email harvesting,"[""-d"",""-b""]",Linux,https://github.com/laramies/theHarvester,
maltego,maltego,Launch Maltego for OSINT and relationship mapping.,Information Gathering,OSINT analysis,[],Linux,https://www.maltego.com/,
dnsenum,dnsenum example.com,Enumerate DNS records for a domain.,Information Gathering,DNS enumeration,[],Linux,https://github.com/fwaeytens/dnsenum,
whois,whois example.com,Retrieve WHOIS information for a domain.,Information Gathering,Domain reconnaissance,[],Linux,https://www.man7.org/linux/man-pages/man1/whois.1.html,
shodan,"shodan search --fields ip_str,port,org 'os:linux'",Search for Linux-based devices on Shodan.,Information Gathering,Internet-exposed device search,"[""search"",""--fields""]",Linux,https://cli.shodan.io/,
recon-ng,recon-ng,Launch Recon-ng for reconnaissance tasks.,Information Gathering,Reconnaissance framework,[],Linux,https://github.com/lanmaster53/recon-ng,
metagoofil,"metagoofil -d example.com -t doc,pdf -o output.html",Extract metadata from documents on a domain.,Information Gathering,Metadata extraction,"[""-d"",""-t"",""-o""]",Linux,https://github.com/laramies/metagoofil,
amass,amass enum -d example.com,Enumerate subdomains for a target domain.,Information Gathering,Subdomain enumeration,"[""enum"",""-d""]",Linux,https://github.com/OWASP/Amass,
sublist3r,sublist3r -d example.com,Enumerate subdomains using multiple sources.,Information Gathering,Subdomain enumeration,"[""-d""]",Linux,https://github.com/aboul3la/Sublist3r,
dnsrecon,dnsrecon -d example.com,Perform DNS reconnaissance on a domain.,Information Gathering,DNS reconnaissance,"[""-d""]",Linux,https://github.com/darkoperator/dnsrecon,
fierce,fierce --domain example.com,Enumerate subdomains and DNS records.,Information Gathering,DNS enumeration,"[""--domain""]",Linux,https://github.com/mschwager/fierce,
dmitry,dmitry -i example.com,Gather WHOIS and host information.,Information Gathering,Domain reconnaissance,"[""-i""]",Linux,https://www.kali.org/tools/dmitry/,
netdiscover,netdiscover -i eth0,Discover active hosts on a network.,Information Gathering,Network discovery,"[""-i""]",Linux,https://github.com/netdiscover-scanner/netdiscover,
enum4linux,enum4linux 192.168.1.100,Enumerate SMB shares and users on a target.,Information Gathering,SMB enumeration,[],Linux,https://github.com/CiscoCXSecurity/enum4linux,
onesixtyone,onesixtyone 192.168.1.100,Enumerate SNMP information from a target.,Information Gathering,SNMP enumeration,[],Linux,https://github.com/trailofbits/onesixtyone,
nikto,nikto -h http://example.com,Scan web server for misconfigurations.,Information Gathering,Web server reconnaissance,"[""-h""]",Linux,https://cirt.net/Nikto2,
whatweb,whatweb example.com,Identify technologies used by a website.,Information Gathering,Web reconnaissance,[],Linux,https://www.morningstarsecurity.com/research/whatweb,
wafw00f,wafw00f example.com,Detect web application firewalls.,Information Gathering,WAF detection,[],Linux,https://github.com/EnableSecurity/wafw00f,
snmp-check,snmp-check 192.168.1.100,Enumerate SNMP data from a target.,Information Gathering,SNMP enumeration,[],Linux,https://www.kali.org/tools/snmpcheck/,
sparta,sparta,Launch SPARTA for network reconnaissance.,Information Gathering,Network scanning,[],Linux,https://www.kali.org/tools/sparta/,
masscan,"masscan 192.168.1.0/24 -p80,443",Scan network for open ports 80 and 443.,Information Gathering,Port scanning,"[""-p""]",Linux,https://github.com/robertdavidgraham/masscan,
unicornscan,unicornscan 192.168.1.100 -p 1-65535,Perform a full port scan on a target.,Information Gathering,Port scanning,"[""-p""]",Linux,https://www.kali.org/tools/unicornscan/,
hping3,hping3 -S 192.168.1.100 -p 80,Send SYN packets to port 80 for reconnaissance.,Information Gathering,Packet crafting,"[""-S"",""-p""]",Linux,http://www.hping.org/manpage.html,
nmap,nmap 192.168.1.0/24,Scan a network range for live hosts.,Information Gathering,Network scanning,[],Linux,https://nmap.org/book/man.html,
theHarvester,theharvester -d example.com -b google,Harvest emails and subdomains from Google.,Information Gathering,OSINT email harvesting,"[""-d"",""-b""]",Linux,https://github.com/laramies/theHarvester,
maltego,maltego,Launch Maltego for OSINT and relationship mapping.,Information Gathering,OSINT analysis,[],Linux,https://www.maltego.com/,
dnsenum,dnsenum example.com,Enumerate DNS records for a domain.,Information Gathering,DNS enumeration,[],Linux,https://github.com/fwaeytens/dnsenum,
whois,whois example.com,Retrieve WHOIS information for a domain.,Information Gathering,Domain reconnaissance,[],Linux,https://www.man7.org/linux/man-pages/man1/whois.1.html,
shodan,"shodan search --fields ip_str,port,org 'os:linux'",Search for Linux-based devices on Shodan.,Information Gathering,Internet-exposed device search,"[""search"",""--fields""]",Linux,https://cli.shodan.io/,
recon-ng,recon-ng,Launch Recon-ng for reconnaissance tasks.,Information Gathering,Reconnaissance framework,[],Linux,https://github.com/lanmaster53/recon-ng,
metagoofil,"metagoofil -d example.com -t doc,pdf -o output.html",Extract metadata from documents on a domain.,Information Gathering,Metadata extraction,"[""-d"",""-t"",""-o""]",Linux,https://github.com/laramies/metagoofil,
amass,amass enum -d example.com,Enumerate subdomains for a target domain.,Information Gathering,Subdomain enumeration,"[""enum"",""-d""]",Linux,https://github.com/OWASP/Amass,
sublist3r,sublist3r -d example.com,Enumerate subdomains using multiple sources.,Information Gathering,Subdomain enumeration,"[""-d""]",Linux,https://github.com/aboul3la/Sublist3r,
dnsrecon,dnsrecon -d example.com,Perform DNS reconnaissance on a domain.,Information Gathering,DNS reconnaissance,"[""-d""]",Linux,https://github.com/darkoperator/dnsrecon,
fierce,fierce --domain example.com,Enumerate subdomains and DNS records.,Information Gathering,DNS enumeration,"[""--domain""]",Linux,https://github.com/mschwager/fierce,
dmitry,dmitry -i example.com,Gather WHOIS and host information.,Information Gathering,Domain reconnaissance,"[""-i""]",Linux,https://www.kali.org/tools/dmitry/,
netdiscover,netdiscover -i eth0,Discover active hosts on a network.,Information Gathering,Network discovery,"[""-i""]",Linux,https://github.com/netdiscover-scanner/netdiscover,
enum4linux,enum4linux 192.168.1.100,Enumerate SMB shares and users on a target.,Information Gathering,SMB enumeration,[],Linux,https://github.com/CiscoCXSecurity/enum4linux,
onesixtyone,onesixtyone 192.168.1.100,Enumerate SNMP information from a target.,Information Gathering,SNMP enumeration,[],Linux,https://github.com/trailofbits/onesixtyone,
nikto,nikto -h http://example.com,Scan web server for misconfigurations.,Information Gathering,Web server reconnaissance,"[""-h""]",Linux,https://cirt.net/Nikto2,
whatweb,whatweb example.com,Identify technologies used by a website.,Information Gathering,Web reconnaissance,[],Linux,https://www.morningstarsecurity.com/research/whatweb,
wafw00f,wafw00f example.com,Detect web application firewalls.,Information Gathering,WAF detection,[],Linux,https://github.com/EnableSecurity/wafw00f,
snmp-check,snmp-check 192.168.1.100,Enumerate SNMP data from a target.,Information Gathering,SNMP enumeration,[],Linux,https://www.kali.org/tools/snmpcheck/,
sparta,sparta,Launch SPARTA for network reconnaissance.,Information Gathering,Network scanning,[],Linux,https://www.kali.org/tools/sparta/,
masscan,"masscan 192.168.1.0/24 -p80,443",Scan network for open ports 80 and 443.,Information Gathering,Port scanning,"[""-p""]",Linux,https://github.com/robertdavidgraham/masscan,
unicornscan,unicornscan 192.168.1.100 -p 1-65535,Perform a full port scan on a target.,Information Gathering,Port scanning,"[""-p""]",Linux,https://www.kali.org/tools/unicornscan/,
hping3,hping3 -S 192.168.1.100 -p 80,Send SYN packets to port 80 for reconnaissance.,Information Gathering,Packet crafting,"[""-S"",""-p""]",Linux,http://www.hping.org/manpage.html,
nmap,nmap -sV 192.168.1.100,Detect service versions on a target.,Information Gathering,Service enumeration,"[""-sV""]",Linux,https://nmap.org/book/man.html,
theHarvester,theharvester -d example.com -b bing,Harvest emails and subdomains from Bing.,Information Gathering,OSINT email harvesting,"[""-d"",""-b""]",Linux,https://github.com/laramies/theHarvester,
maltego,maltego --transform person_to_email,Map person to email addresses in Maltego.,Information Gathering,Email reconnaissance,"[""--transform""]",Linux,https://www.maltego.com/,
dnsenum,dnsenum --enum example.com,Perform brute-force DNS enumeration.,Information Gathering,DNS enumeration,"[""--enum""]",Linux,https://github.com/fwaeytens/dnsenum,
whois,whois 192.168.1.100,Retrieve WHOIS information for an IP address.,Information Gathering,IP reconnaissance,[],Linux,https://www.man7.org/linux/man-pages/man1/whois.1.html,
shodan,shodan host 192.168.1.100,Retrieve Shodan information for a specific IP.,Information Gathering,IP reconnaissance,"[""host""]",Linux,https://cli.shodan.io/,
recon-ng,recon-ng -m recon/domains-hosts/bing_domain_web,Use Bing to find hosts for a domain.,Information Gathering,Domain reconnaissance,"[""-m""]",Linux,https://github.com/lanmaster53/recon-ng,
metagoofil,metagoofil -d example.com -l 50,Limit metadata extraction to 50 documents.,Information Gathering,Metadata extraction,"[""-d"",""-l""]",Linux,https://github.com/laramies/metagoofil,
amass,amass track -d example.com,Track subdomain changes over time.,Information Gathering,Subdomain tracking,"[""track"",""-d""]",Linux,https://github.com/OWASP/Amass,
sublist3r,sublist3r -d example.com -o output.txt,Save subdomain enumeration results to a file.,Information Gathering,Subdomain enumeration,"[""-d"",""-o""]",Linux,https://github.com/aboul3la/Sublist3r,
dnsrecon,dnsrecon -d example.com -t axfr,Attempt DNS zone transfer.,Information Gathering,DNS zone transfer,"[""-d"",""-t""]",Linux,https://github.com/darkoperator/dnsrecon,
fierce,fierce --domain example.com --dns-servers 8.8.8.8,Use custom DNS server for enumeration.,Information Gathering,DNS enumeration,"[""--domain"",""--dns-servers""]",Linux,https://github.com/mschwager/fierce,
dmitry,dmitry -s example.com,Search for subdomains of a domain.,Information Gathering,Subdomain enumeration,"[""-s""]",Linux,https://www.kali.org/tools/dmitry/,
netdiscover,netdiscover -r 192.168.1.0/24,Scan a specific network range for hosts.,Information Gathering,Network discovery,"[""-r""]",Linux,https://github.com/netdiscover-scanner/netdiscover,
enum4linux,enum4linux -u user -p pass 192.168.1.100,Enumerate SMB with credentials.,Information Gathering,SMB enumeration,"[""-u"",""-p""]",Linux,https://github.com/CiscoCXSecurity/enum4linux,
onesixtyone,onesixtyone -c community.txt 192.168.1.100,Use custom SNMP community strings.,Information Gathering,SNMP enumeration,"[""-c""]",Linux,https://github.com/trailofbits/onesixtyone,
nikto,nikto -h http://example.com -o report.txt,Save web server scan results to a file.,Information Gathering,Web server reconnaissance,"[""-h"",""-o""]",Linux,https://cirt.net/Nikto2,
whatweb,whatweb -v example.com,Perform verbose website technology scan.,Information Gathering,Web reconnaissance,"[""-v""]",Linux,https://www.morningstarsecurity.com/research/whatweb,
wafw00f,wafw00f -a example.com,Perform aggressive WAF detection.,Information Gathering,WAF detection,"[""-a""]",Linux,https://github.com/EnableSecurity/wafw00f,
snmp-check,snmp-check -c public 192.168.1.100,Enumerate SNMP with a specific community string.,Information Gathering,SNMP enumeration,"[""-c""]",Linux,https://www.kali.org/tools/snmpcheck/,
masscan,masscan --rate 1000 192.168.1.0/24,Scan network with a custom packet rate.,Information Gathering,Port scanning,"[""--rate""]",Linux,https://github.com/robertdavidgraham/masscan,
unicornscan,unicornscan -mT 192.168.1.100,Perform TCP scan on a target.,Information Gathering,Port scanning,"[""-mT""]",Linux,https://www.kali.org/tools/unicornscan/,
hping3,hping3 -c 10 192.168.1.100,Send 10 packets for reconnaissance.,Information Gathering,Packet crafting,"[""-c""]",Linux,http://www.hping.org/manpage.html,
nmap,nmap -O 192.168.1.100,Perform OS detection on a target.,Information Gathering,OS fingerprinting,"[""-O""]",Linux,https://nmap.org/book/man.html,
theHarvester,theharvester -d example.com -b linkedin,Harvest data from LinkedIn.,Information Gathering,OSINT data harvesting,"[""-d"",""-b""]",Linux,https://github.com/laramies/theHarvester,
maltego,maltego --transform domain_to_ip,Map domains to IP addresses.,Information Gathering,Network reconnaissance,"[""--transform""]",Linux,https://www.maltego.com/,
dnsenum,dnsenum -f wordlist.txt example.com,Use a wordlist for DNS brute-forcing.,Information Gathering,DNS enumeration,"[""-f""]",Linux,https://github.com/fwaeytens/dnsenum,
shodan,shodan stats --facets os,Retrieve OS distribution stats from Shodan.,Information Gathering,OSINT analysis,"[""stats"",""--facets""]",Linux,https://cli.shodan.io/,
recon-ng,recon-ng -m recon/hosts-hosts/resolve,Resolve hostnames to IP addresses.,Information Gathering,Host resolution,"[""-m""]",Linux,https://github.com/lanmaster53/recon-ng,
amass,amass intel -d example.com,Collect OSINT intelligence for a domain.,Information Gathering,OSINT intelligence,"[""intel"",""-d""]",Linux,https://github.com/OWASP/Amass,
sublist3r,sublist3r -d example.com -t 10,Enumerate subdomains with 10 threads.,Information Gathering,Subdomain enumeration,"[""-d"",""-t""]",Linux,https://github.com/aboul3la/Sublist3r,
dnsrecon,dnsrecon -d example.com -t srv,Enumerate SRV records.,Information Gathering,DNS enumeration,"[""-d"",""-t""]",Linux,https://github.com/darkoperator/dnsrecon,
fierce,fierce --domain example.com --wordlist wordlist.txt,Use a wordlist for subdomain brute-forcing.,Information Gathering,Subdomain enumeration,"[""--domain"",""--wordlist""]",Linux,https://github.com/mschwager/fierce,
dmitry,dmitry -p 192.168.1.100,Perform port scanning on a target.,Information Gathering,Port scanning,"[""-p""]",Linux,https://www.kali.org/tools/dmitry/,
netdiscover,netdiscover -p,Perform passive network discovery.,Information Gathering,Network discovery,"[""-p""]",Linux,https://github.com/netdiscover-scanner/netdiscover,
enum4linux,enum4linux -a 192.168.1.100,Perform all SMB enumeration tasks.,Information Gathering,SMB enumeration,"[""-a""]",Linux,https://github.com/CiscoCXSecurity/enum4linux,
nikto,nikto -h http://example.com -C all,Perform comprehensive CGI scanning.,Information Gathering,Web server reconnaissance,"[""-h"",""-C""]",Linux,https://cirt.net/Nikto2,
whatweb,whatweb --log-json=output.json example.com,Log website scan results to JSON.,Information Gathering,Web reconnaissance,"[""--log-json""]",Linux,https://www.morningstarsecurity.com/research/whatweb,
masscan,masscan -p1-65535 192.168.1.100,Scan all ports on a target.,Information Gathering,Port scanning,"[""-p""]",Linux,https://github.com/robertdavidgraham/masscan,
unicornscan,unicornscan -mU 192.168.1.100,Perform UDP scan on a target.,Information Gathering,Port scanning,"[""-mU""]",Linux,https://www.kali.org/tools/unicornscan/,
hping3,hping3 -A 192.168.1.100 -p 80,Send ACK packets to port 80.,Information Gathering,Packet crafting,"[""-A"",""-p""]",Linux,http://www.hping.org/manpage.html,
nmap,nmap --script vuln 192.168.1.100,Run vulnerability scan scripts.,Information Gathering,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
theHarvester,theharvester -d example.com -b all,Harvest data from all available sources.,Information Gathering,OSINT data harvesting,"[""-d"",""-b""]",Linux,https://github.com/laramies/theHarvester,
maltego,maltego --run-transform email_to_person,Map email addresses to person entities.,Information Gathering,Email reconnaissance,"[""--run-transform""]",Linux,https://www.maltego.com/,
aircrack-ng,aircrack-ng capture.cap,Crack WEP/WPA keys from a captured file.,Wireless Attacks,Password cracking,[],Linux,https://www.aircrack-ng.org/documentation.html,
airodump-ng,airodump-ng wlan0,Capture Wi-Fi packets on wlan0 interface.,Wireless Attacks,Network scanning,[],Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -0 10 -a 00:11:22:33:44:55 wlan0,Send 10 deauthentication packets to an AP.,Wireless Attacks,Deauthentication attack,"[""-0"",""-a""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
wifite,wifite -i wlan0,Launch Wifite to attack Wi-Fi networks on wlan0.,Wireless Attacks,Automated Wi-Fi attack,"[""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0,Launch Wifiphisher for Wi-Fi phishing attacks.,Wireless Attacks,Wi-Fi phishing,"[""-i""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0,Start Kismet to monitor Wi-Fi networks on wlan0.,Wireless Attacks,Wireless monitoring,"[""-c""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -a 00:11:22:33:44:55 -m,Launch deauthentication attack on a specific AP.,Wireless Attacks,Deauthentication attack,"[""-a"",""-m""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng start wlan0,Enable monitor mode on wlan0 interface.,Wireless Attacks,Interface configuration,"[""start""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng -c 6 --bssid 00:11:22:33:44:55 wlan0,Capture packets on channel 6 for a specific AP.,Wireless Attacks,Targeted network scanning,"[""-c"",""--bssid""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
